date,feature_1,feature_2,feature_3,target
2020-01-01,1.4758532804872848,91.28924447365753,C,1
2020-01-01,1.5236841994406047,56.56881721410058,B,1
2020-01-01,0.3719599007584981,18.267238423966813,B,0
2020-01-01,-0.17193169036452058,13.95988673598001,C,0
2020-01-02,0.14624800781885558,57.64724375577539,C,1
2020-01-02,0.5221203572550798,76.18836118624439,A,1
2020-01-02,0.5180669438450914,78.15056477421821,C,0
2020-01-02,1.307986637140105,27.575740444128126,B,0
2020-01-03,2.115755721916655,20.424675891216747,A,1
2020-01-03,-0.20525462961408644,1.6756304492382412,B,1
2020-01-03,2.1558849088244623,67.91991512011694,A,1
2020-01-04,1.1722392467583935,7.656825843353898,B,0
2020-01-04,-0.1008229901852079,42.07612017659258,C,1
2020-01-05,1.4985648388650799,60.16821640182961,B,1
2020-01-05,1.685648301419165,93.71089449196771,A,1
2020-01-05,-0.46029544419384677,31.180213695576864,B,0
2020-01-05,1.732215252485648,24.977216244651977,A,1
2020-01-05,1.0750828210359633,65.41601542860984,B,0
2020-01-06,2.368559127979192,61.923903205358165,C,1
2020-01-07,-0.42403858199949895,33.21097833081246,C,1
2020-01-07,-0.35342674373599603,92.81018355097865,B,1
2020-01-07,-2.02666212974334,84.48623274896327,B,1
2020-01-07,0.5711939205679621,22.398254586508116,B,0
2020-01-08,0.37525125561871836,23.91425454345232,A,0
2020-01-08,-0.5629936715356667,51.23003468870806,B,1
2020-01-08,-0.08185073148805803,77.35721017307203,B,1
2020-01-09,-1.3112210101751152,4.4040379388464395,A,0
2020-01-09,1.198444952831686,69.33351537347066,C,1
2020-01-09,-0.48969947452831014,64.82358973820969,B,1
2020-01-10,3.0940490156209512,23.148009591298823,B,0
2020-01-10,-0.1756013007110328,68.13530132413487,C,0
2020-01-11,-0.7596188410483099,94.01831912520827,C,1
2020-01-11,-0.4123131187348619,4.6785844971768515,A,1
2020-01-11,-1.4119609765442513,31.96520552920625,B,1
2020-01-11,0.48227189070294224,43.817671666635526,B,1
2020-01-12,-0.4198996997791222,89.92603589246896,A,1
2020-01-12,1.1312527903977379,96.22614466091566,C,1
2020-01-12,-0.27474749517441743,44.41152464963323,A,0
2020-01-13,1.3844421116856467,75.00284121421912,C,1
2020-01-14,0.757455749317041,53.1661023764483,A,0
2020-01-15,0.028596776718344066,53.77829347413765,C,0
2020-01-15,1.5802325873508214,27.809951506635645,A,0
2020-01-15,0.9522934610372095,21.69562458638795,C,0
2020-01-15,2.9462128266632255,28.800534592404116,C,0
2020-01-15,-0.4094552449782045,55.63280072570793,C,1
2020-01-16,0.0766161054584606,2.9155186022088997,C,1
2020-01-16,1.5687090110109296,90.72489443564058,C,0
2020-01-16,-1.5435378118351124,15.628370954977623,B,0
2020-01-17,1.3169435632325621,22.008867687138654,C,0
2020-01-17,0.4393027576814708,51.827617644764636,B,0
2020-01-17,-0.8882107554472478,71.01147663372794,C,0
2020-01-17,-1.3630396585511215,9.57290547443973,B,1
2020-01-17,-0.672489473130284,31.76946975471622,B,1
2020-01-17,-2.284819572325572,96.86746055743572,A,1
2020-01-18,-0.4895394436915037,26.23429667809457,C,1
2020-01-18,0.6225563333425816,31.305014506314688,A,0
2020-01-19,-0.47630064096882785,83.64984906180335,A,1
2020-01-19,1.388312701433808,5.021443169045526,C,0
2020-01-20,1.6599476027252877,46.46131688089709,A,0
2020-01-20,1.2756444826257742,37.96167644516702,C,1
2020-01-21,0.23064091026436495,31.658675990865113,A,1
2020-01-21,-2.324679272486469,28.569959404476453,C,1
2020-01-21,-0.7036974920326059,9.13741048604092,C,1
2020-01-22,-0.14203852677438686,31.48258293516488,C,1
2020-01-22,-0.8938676495048108,4.305240271566857,B,1
2020-01-22,-0.13950547548657105,78.09638636444353,A,1
2020-01-22,1.6100674686933796,39.82277939580116,B,1
2020-01-23,-1.6457765295153182,44.39038323199116,A,1
